===============================================================================
Id,AAPL,len,datetime,open,high,low,close,volume,openinterest,adjclose,SmaCross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
49,AAPL,49,2014-03-13 23:59:59.999989,69.15,69.44,68.09,68.28,71540803.0,0.0,68.278328,SmaCross,49,735305.9999999999,Broker,49,9931.42,9999.7,BuySell,49,,,Trades - Net Profit/Loss,49,,
50,AAPL,50,2014-03-14 23:59:59.999989,68.04,68.31,67.29,67.51,65838573.0,0.0,67.511467,SmaCross,50,735306.9999999999,Broker,50,9931.42,9998.93,BuySell,50,,,Trades - Net Profit/Loss,50,,
51,AAPL,51,2014-03-17 23:59:59.999989,67.9,68.19,67.66,67.78,55386974.0,0.0,67.775238,SmaCross,51,735309.9999999999,Broker,51,9931.42,9999.2,BuySell,51,,,Trades - Net Profit/Loss,51,,
52,AAPL,52,2014-03-18 23:59:59.999989,67.67,68.45,67.58,68.37,58191065.0,0.0,68.374832,SmaCross,52,735310.9999999999,Broker,52,9931.42,9999.79,BuySell,52,,,Trades - Net Profit/Loss,52,,
53,AAPL,53,2014-03-19 23:59:59.999989,68.49,69.0,68.07,68.36,62384758.0,0.0,68.356827,SmaCross,53,735311.9999999999,Broker,53,9931.42,9999.78,BuySell,53,,,Trades - Net Profit/Loss,53,,
54,AAPL,54,2014-03-20 23:59:59.999989,68.18,68.54,67.85,68.03,57844439.0,0.0,68.027428,SmaCross,54,735312.9999999999,Broker,54,9931.42,9999.45,BuySell,54,,,Trades - Net Profit/Loss,54,,
55,AAPL,55,2014-03-21 23:59:59.999989,68.44,68.68,67.72,68.56,103822833.0,0.0,68.56395,SmaCross,55,735313.9999999999,Broker,55,9931.42,9999.98,BuySell,55,,,Trades - Net Profit/Loss,55,,
56,AAPL,56,2014-03-24 23:59:59.999989,69.28,69.55,68.85,69.38,98730683.0,0.0,69.377159,SmaCross,56,735316.9999999999,Broker,56,10000.7,10000.7,BuySell,56,,70.59324999999998,Trades - Net Profit/Loss,56,0.7000000000000028,
57,AAPL,57,2014-03-25 23:59:59.999989,69.67,70.22,69.43,70.12,78355182.0,0.0,70.123436,SmaCross,57,735317.9999999999,Broker,57,9931.03,10001.150000000001,BuySell,57,68.38855000000001,,Trades - Net Profit/Loss,57,,
58,AAPL,58,2014-03-26 23:59:59.999989,70.32,70.64,69.33,69.45,83205610.0,0.0,69.453064,SmaCross,58,735318.9999999999,Broker,58,9931.03,10000.480000000001,BuySell,58,,,Trades - Net Profit/Loss,58,,
59,AAPL,59,2014-03-27 23:59:59.999989,69.48,69.67,68.85,69.15,61628557.0,0.0,69.154572,SmaCross,59,735319.9999999999,Broker,59,9931.03,10000.18,BuySell,59,,,Trades - Net Profit/Loss,59,,
60,AAPL,60,2014-03-28 23:59:59.999989,69.27,69.35,68.74,69.08,55669862.0,0.0,69.077377,SmaCross,60,735320.9999999999,Broker,60,9931.03,10000.11,BuySell,60,,,Trades - Net Profit/Loss,60,,
61,AAPL,61,2014-03-31 23:59:59.999989,69.38,69.59,68.96,69.06,46816927.0,0.0,69.061943,SmaCross,61,735323.9999999999,Broker,61,9931.03,10000.09,BuySell,61,,,Trades - Net Profit/Loss,61,,
62,AAPL,62,2014-04-01 23:59:59.999989,69.19,69.72,69.07,69.69,55724273.0,0.0,69.693695,SmaCross,62,735324.9999999999,Broker,62,9931.03,10000.720000000001,BuySell,62,,,Trades - Net Profit/Loss,62,,
63,AAPL,63,2014-04-02 23:59:59.999989,69.79,69.93,69.51,69.81,50078797.0,0.0,69.809486,SmaCross,63,735325.9999999999,Broker,63,9931.03,10000.84,BuySell,63,,,Trades - Net Profit/Loss,63,,
64,AAPL,64,2014-04-03 23:59:59.999989,69.66,69.8,69.18,69.33,45061286.0,0.0,69.325684,SmaCross,64,735326.9999999999,Broker,64,9931.03,10000.36,BuySell,64,,,Trades - Net Profit/Loss,64,,
65,AAPL,65,2014-04-04 23:59:59.999989,69.46,69.48,68.27,68.43,76400544.0,0.0,68.428879,SmaCross,65,735327.9999999999,Broker,65,9931.03,9999.460000000001,BuySell,65,,,Trades - Net Profit/Loss,65,,
66,AAPL,66,2014-04-07 23:59:59.999989,67.94,68.31,67.15,67.35,80452776.0,0.0,67.3545,SmaCross,66,735330.9999999999,Broker,66,9931.03,9998.380000000001,BuySell,66,,,Trades - Net Profit/Loss,66,,
67,AAPL,67,2014-04-08 23:59:59.999989,67.58,67.7,66.74,67.35,67695283.0,0.0,67.350624,SmaCross,67,735331.9999999999,Broker,67,9931.03,9998.380000000001,BuySell,67,,,Trades - Net Profit/Loss,67,,
68,AAPL,68,2014-04-09 23:59:59.999989,67.25,68.26,67.17,68.24,57225788.0,0.0,68.235886,SmaCross,68,735332.9999999999,Broker,68,9931.03,9999.27,BuySell,68,,,Trades - Net Profit/Loss,68,,
