===============================================================================
Id,AMZN,len,datetime,open,high,low,close,volume,openinterest,adjclose,SmaCross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
74,AMZN,74,2014-04-17 23:59:59.999989,319.76,328.66,319.76,324.91,4299200.0,0.0,324.910004,SmaCross,74,735340.9999999999,Broker,74,9969.71,9969.71,BuySell,74,,,Trades - Net Profit/Loss,74,,
75,AMZN,75,2014-04-21 23:59:59.999989,323.97,331.15,322.31,330.87,2999400.0,0.0,330.869995,SmaCross,75,735344.9999999999,Broker,75,9969.71,9969.71,BuySell,75,,,Trades - Net Profit/Loss,75,,
76,AMZN,76,2014-04-22 23:59:59.999989,332.0,337.5,328.94,329.32,3711600.0,0.0,329.320007,SmaCross,76,735345.9999999999,Broker,76,9969.71,9969.71,BuySell,76,,,Trades - Net Profit/Loss,76,,
77,AMZN,77,2014-04-23 23:59:59.999989,333.06,333.13,323.39,324.58,3604600.0,0.0,324.579987,SmaCross,77,735346.9999999999,Broker,77,9969.71,9969.71,BuySell,77,,,Trades - Net Profit/Loss,77,,
78,AMZN,78,2014-04-24 23:59:59.999989,329.67,337.4,322.95,337.15,9293700.0,0.0,337.149994,SmaCross,78,735347.9999999999,Broker,78,9969.71,9969.71,BuySell,78,,,Trades - Net Profit/Loss,78,,
79,AMZN,79,2014-04-25 23:59:59.999989,316.25,316.49,302.71,303.83,16180200.0,0.0,303.829987,SmaCross,79,735348.9999999999,Broker,79,9969.71,9969.71,BuySell,79,,,Trades - Net Profit/Loss,79,,
80,AMZN,80,2014-04-28 23:59:59.999989,304.0,304.39,288.0,296.58,14479800.0,0.0,296.579987,SmaCross,80,735351.9999999999,Broker,80,9969.71,9969.71,BuySell,80,,,Trades - Net Profit/Loss,80,,
81,AMZN,81,2014-04-29 23:59:59.999989,296.44,301.84,290.45,300.38,6509300.0,0.0,300.380005,SmaCross,81,735352.9999999999,Broker,81,9969.71,9969.71,BuySell,81,,,Trades - Net Profit/Loss,81,,
82,AMZN,82,2014-04-30 23:59:59.999989,298.1,304.56,298.1,304.13,4088600.0,0.0,304.130005,SmaCross,82,735353.9999999999,Broker,82,9969.71,9969.71,BuySell,82,,,Trades - Net Profit/Loss,82,,
83,AMZN,83,2014-05-01 23:59:59.999989,304.13,310.48,304.0,307.89,4328600.0,0.0,307.890015,SmaCross,83,735354.9999999999,Broker,83,9969.71,9969.71,BuySell,83,,,Trades - Net Profit/Loss,83,,
84,AMZN,84,2014-05-02 23:59:59.999989,310.42,313.29,304.31,308.01,3995100.0,0.0,308.01001,SmaCross,84,735355.9999999999,Broker,84,9969.71,9969.71,BuySell,84,,,Trades - Net Profit/Loss,84,,
85,AMZN,85,2014-05-05 23:59:59.999989,306.37,310.23,305.0,310.05,2519900.0,0.0,310.049988,SmaCross,85,735358.9999999999,Broker,85,9969.71,9969.71,BuySell,85,,,Trades - Net Profit/Loss,85,,
86,AMZN,86,2014-05-06 23:59:59.999989,309.53,309.81,297.04,297.38,4682300.0,0.0,297.380005,SmaCross,86,735359.9999999999,Broker,86,9969.71,9969.71,BuySell,86,,,Trades - Net Profit/Loss,86,,
87,AMZN,87,2014-05-07 23:59:59.999989,295.56,296.4,286.68,292.71,7015200.0,0.0,292.709991,SmaCross,87,735360.9999999999,Broker,87,9969.71,9969.71,BuySell,87,,,Trades - Net Profit/Loss,87,,
88,AMZN,88,2014-05-08 23:59:59.999989,290.82,295.88,287.23,288.32,3848200.0,0.0,288.320007,SmaCross,88,735361.9999999999,Broker,88,9969.71,9969.71,BuySell,88,,,Trades - Net Profit/Loss,88,,
89,AMZN,89,2014-05-09 23:59:59.999989,290.57,293.68,284.38,292.24,4063000.0,0.0,292.23999,SmaCross,89,735362.9999999999,Broker,89,9969.71,9969.71,BuySell,89,,,Trades - Net Profit/Loss,89,,
90,AMZN,90,2014-05-12 23:59:59.999989,294.3,303.34,294.16,302.86,3729600.0,0.0,302.859985,SmaCross,90,735365.9999999999,Broker,90,9969.71,9969.71,BuySell,90,,,Trades - Net Profit/Loss,90,,
91,AMZN,91,2014-05-13 23:59:59.999989,302.6,305.6,300.75,304.64,3509900.0,0.0,304.640015,SmaCross,91,735366.9999999999,Broker,91,9969.71,9969.71,BuySell,91,,,Trades - Net Profit/Loss,91,,
92,AMZN,92,2014-05-14 23:59:59.999989,302.5,304.64,296.66,297.62,3323300.0,0.0,297.619995,SmaCross,92,735367.9999999999,Broker,92,9969.71,9969.71,BuySell,92,,,Trades - Net Profit/Loss,92,,
93,AMZN,93,2014-05-15 23:59:59.999989,298.02,299.2,290.38,295.19,4295100.0,0.0,295.190002,SmaCross,93,735368.9999999999,Broker,93,9969.71,9969.71,BuySell,93,,,Trades - Net Profit/Loss,93,,
94,AMZN,94,2014-05-16 23:59:59.999989,292.8,298.88,291.55,297.7,3636800.0,0.0,297.700012,SmaCross,94,735369.9999999999,Broker,94,9969.71,9969.71,BuySell,94,,,Trades - Net Profit/Loss,94,,
95,AMZN,95,2014-05-19 23:59:59.999989,295.76,299.0,293.81,296.76,2284200.0,0.0,296.76001,SmaCross,95,735372.9999999999,Broker,95,9969.71,9969.71,BuySell,95,,,Trades - Net Profit/Loss,95,,
96,AMZN,96,2014-05-20 23:59:59.999989,297.1,304.46,296.75,301.19,4095700.0,0.0,301.190002,SmaCross,96,735373.9999999999,Broker,96,9969.71,9969.71,BuySell,96,,,Trades - Net Profit/Loss,96,,
97,AMZN,97,2014-05-21 23:59:59.999989,302.21,305.96,301.52,305.01,3408800.0,0.0,305.01001,SmaCross,97,735374.9999999999,Broker,97,9969.71,9969.71,BuySell,97,,,Trades - Net Profit/Loss,97,,
98,AMZN,98,2014-05-22 23:59:59.999989,305.05,308.54,303.01,304.91,2576800.0,0.0,304.910004,SmaCross,98,735375.9999999999,Broker,98,9969.71,9969.71,BuySell,98,,,Trades - Net Profit/Loss,98,,
99,AMZN,99,2014-05-23 23:59:59.999989,305.46,312.35,304.9,312.24,3052900.0,0.0,312.23999,SmaCross,99,735376.9999999999,Broker,99,9969.71,9969.71,BuySell,99,,,Trades - Net Profit/Loss,99,,
100,AMZN,100,2014-05-27 23:59:59.999989,314.41,314.63,307.38,310.82,4862100.0,0.0,310.820007,SmaCross,100,735380.9999999999,Broker,100,9969.71,9969.71,BuySell,100,,,Trades - Net Profit/Loss,100,,
101,AMZN,101,2014-05-28 23:59:59.999989,309.5,313.82,307.42,310.16,2726000.0,0.0,310.160004,SmaCross,101,735381.9999999999,Broker,101,9969.71,9969.71,BuySell,101,,,Trades - Net Profit/Loss,101,,
102,AMZN,102,2014-05-29 23:59:59.999989,310.42,314.87,310.2,313.78,2365500.0,0.0,313.779999,SmaCross,102,735382.9999999999,Broker,102,9969.71,9969.71,BuySell,102,,,Trades - Net Profit/Loss,102,,
103,AMZN,103,2014-05-30 23:59:59.999989,314.43,314.65,307.57,312.55,4260200.0,0.0,312.549988,SmaCross,103,735383.9999999999,Broker,103,9969.71,9969.71,BuySell,103,,,Trades - Net Profit/Loss,103,,
